时间/h,药材半径/cm
36.93333333,1.20000000
36.95000000,1.20000000
36.96666667,1.20000000
36.98333333,1.20000000
37.00000000,1.20000000
37.01666667,1.20000000
37.03333333,1.20000000
37.05000000,1.20000000
37.06666667,1.20000000
37.08333333,1.20000000
37.10000000,1.20000000
37.11666667,1.20000000
37.13333333,1.20000000
37.15000000,1.20000000
37.16666667,1.20000000
37.18333333,1.20000000
37.20000000,1.20000000
37.21666667,1.20000000
37.23333333,1.20000000
37.25000000,1.20000000
37.26666667,1.20000000
37.28333333,1.20000000
37.30000000,1.20000000
37.31666667,1.20000000
37.33333333,1.20000000
37.35000000,1.20000000
37.36666667,1.20000000
37.38333333,1.20000000
37.40000000,1.20000000
37.41666667,1.20000000
37.43333333,1.20000000
37.45000000,1.20000000
37.46666667,1.20000000
37.48333333,1.20000000
37.50000000,1.20000000
37.51666667,1.20000000
37.53333333,1.20000000
37.55000000,1.20000000
37.56666667,1.20000000
37.58333333,1.20000000
37.60000000,1.20000000
37.61666667,1.20000000
37.63333333,1.20000000
37.65000000,1.20000000
37.66666667,1.20000000
37.68333333,1.20000000
37.70000000,1.20000000
37.71666667,1.20000000
37.73333333,1.20000000
37.75000000,1.20000000
37.76666667,1.20000000
37.78333333,1.20000000
37.80000000,1.20000000
37.81666667,1.20000000
37.83333333,1.20000000
37.85000000,1.20000000
37.86666667,1.20000000
37.88333333,1.20000000
37.90000000,1.20000000
37.91666667,1.20000000
37.93333333,1.20000000
37.95000000,1.20000000
37.96666667,1.20000000
37.98333333,1.20000000
38.00000000,1.20000000
38.01666667,1.20000000
38.03333333,1.20000000
38.05000000,1.20000000
38.06666667,1.20000000
38.08333333,1.20000000
38.10000000,1.20000000
38.11666667,1.20000000
38.13333333,1.20000000
38.15000000,1.20000000
38.16666667,1.20000000
38.18333333,1.20000000
38.20000000,1.20000000
38.21666667,1.20000000
38.23333333,1.20000000
38.25000000,1.20000000
38.26666667,1.20000000
38.28333333,1.20000000
38.30000000,1.20000000
38.31666667,1.20000000
38.33333333,1.20000000
38.35000000,1.20000000
38.36666667,1.20000000
